RaceID,Season,SeriesName,DateTime,Track,DriverID,StartPosition,FinishPosition,Laps,Points,Top10
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000285,0.2,0.2,79.8,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000286,3.7,0.3,79.8,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000338,2.7,1.0,79.8,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000274,0.5,0.5,79.8,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000319,2.2,0.8,79.8,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000491,2.5,1.1,79.8,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000284,1.1,0.6,79.8,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000458,3.5,2.1,79.4,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000537,3.2,2.2,79.4,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80001068,1.6,1.4,79.8,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000333,1.9,1.8,79.8,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000382,0.6,1.3,79.8,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000263,3.3,2.7,79.4,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000380,1.3,1.9,79.4,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000268,2.1,2.4,79.4,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000645,2.4,2.5,79.4,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000290,0.3,1.6,79.8,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000365,3.0,3.0,79.4,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000383,1.8,2.9,79.4,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000312,2.9,3.5,79.0,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000523,1.4,3.2,79.4,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000261,0.8,3.3,79.4,0.0,1
1002,2025,NASCAR Cup,2025-02-02 20:00:00,Bowman Gray Stadium,80000529,1.0,3.7,47.9,0.0,1
1003,2025,NASCAR Cup,2025-02-13 19:00:00,Daytona International Speedway,80000319,1.2,0.1,17.0,0.8,1
1003,2025,NASCAR Cup,2025-02-13 19:00:00,Daytona International Speedway,80000338,1.5,0.3,17.0,0.6,1
1003,2025,NASCAR Cup,2025-02-13 19:00:00,Daytona International Speedway,80000383,0.9,0.2,17.0,0.7,1
1003,2025,NASCAR Cup,2025-02-13 19:00:00,Daytona International Speedway,80000382,1.1,0.4,17.0,0.5,1
